_NAME_,Factor1,Factor2,Factor3,loaded,factor,pole
v000299,0.0914037827,0.359123464,0.107593639,1,fac2,1
v000300,0.4952789244,-0.004519711,-0.079550772,1,fac1,1
v000301,0.2233215121,0.0002843932,-0.179864201,0,,
v000302,0.2529820744,0.3013352631,-0.187426097,1,fac2,1
v000303,0.4222591048,0.1131769726,0.0655671455,1,fac1,1
v000304,0.4381570748,0.0745874367,0.0939908197,1,fac1,1
v000305,0.3031754777,-0.021675772,-0.104698812,1,fac1,1
v000306,-0.026413592,0.5546311798,-0.173976919,1,fac2,1
v000307,0.3525001239,0.1929409429,-0.028564465,1,fac1,1
v000308,0.394061648,0.0831515675,0.0308132331,1,fac1,1
v000309,0.1730002556,0.1029317634,0.3140966166,1,fac3,1
v000310,-0.044236701,0.5034983385,-0.084822631,1,fac2,1
v000311,0.3221198935,0.1854891024,-0.053535241,1,fac1,1
v000312,0.4748171997,-0.019993405,0.0805376865,1,fac1,1
v000313,0.3587357534,-0.264493098,-0.19847882,1,fac1,1
v000314,-0.118692115,-0.530793872,-0.384331533,1,fac2,-1
v000315,0.2218153541,0.3784515359,0.1172116106,1,fac2,1
v000316,0.5738594093,0.1195416724,0.065257944,1,fac1,1
v000317,0.3996732868,0.2818277082,0.0925301759,1,fac1,1
v000318,-0.021651124,0.1690722303,-0.628263252,1,fac3,-1
v000319,0.7184952465,-0.135723941,0.1199190713,1,fac1,1
v000320,0.0074451161,0.2800716351,0.3588926142,1,fac3,1
v000321,0.4181803481,0.4373367391,-0.002614349,1,fac2,1
v000322,0.4522937231,0.3455141141,0.0731396463,1,fac1,1
v000323,0.2111568575,0.2835977901,-0.086939217,0,,
v000324,0.4374903697,0.423022001,0.0189044931,1,fac1,1
v000325,0.3310364361,-0.071262419,-0.006124023,1,fac1,1
v000326,0.2920755783,0.1948850539,-0.01321781,0,,
v000327,-0.011741464,0.1894052892,0.2233113813,0,,
v000328,0.0065031467,0.6046718187,-0.308971757,1,fac2,1
v000329,0.3643836048,0.1165513259,-0.018671315,1,fac1,1
v000330,-0.071382962,0.5702358138,0.0361469982,1,fac2,1
v000331,0.5669142616,0.2814293693,-0.007584517,1,fac1,1
v000332,0.3063731657,0.2961351041,0.0381921569,1,fac1,1
v000333,0.0386082623,0.3709727013,-0.195569388,1,fac2,1
v000334,0.363597433,0.2818673873,0.0294042944,1,fac1,1
v000335,0.4117661114,0.0785904543,-0.124700859,1,fac1,1
v000336,-0.058291057,0.2651133847,-0.012440491,0,,
v000337,0.4385612175,0.0719371245,-0.339996921,1,fac1,1
v000338,0.3529006496,0.082704194,0.0687519554,1,fac1,1
v000339,0.3227219611,0.2624579284,-0.01375549,1,fac1,1
